id,order_id,menu_item_id
1,1,18
2,1,15
3,1,4
4,2,14
5,2,16
6,2,16
7,3,17
8,3,6
9,3,17
10,4,2
11,4,18
12,4,12
13,5,8
14,5,0
15,5,9
16,6,0
17,6,19
18,6,0
19,7,17
20,7,3
21,7,17
22,8,18
23,8,9
24,8,9
25,9,5
26,9,18
27,9,2
28,10,13
29,10,7
30,10,0
31,11,8
32,11,4
33,11,5
34,12,3
35,12,16
36,12,2
37,13,9
38,13,14
39,13,3
40,14,17
41,14,4
42,14,15
43,15,7
44,15,2
45,15,15
46,16,14
47,16,6
48,16,1
49,17,2
50,17,4
51,17,13
52,18,1
53,18,9
54,18,11
55,19,18
56,19,3
57,19,4
58,20,19
59,20,16
60,20,13
61,21,13
62,21,15
63,21,5
64,22,14
65,22,6
66,22,12
67,23,10
68,23,16
69,23,8
70,24,0
71,24,6
72,24,3
73,25,12
74,25,8
75,25,5
76,26,10
77,26,18
78,26,16
79,27,4
80,27,16
81,27,10
82,28,18
83,28,0
84,28,15
85,29,2
86,29,17
87,29,14
88,30,17
89,30,15
90,30,2
91,31,2
92,31,3
93,31,3
94,32,3
95,32,14
96,32,16
97,33,13
98,33,9
99,33,7
100,34,16
101,34,13
102,34,6
103,35,9
104,35,13
105,35,2
106,36,15
107,36,18
108,36,5
109,37,1
110,37,8
111,37,17
112,38,15
113,38,19
114,38,0
115,39,14
116,39,8
117,39,8
118,40,2
119,40,11
120,40,8
121,41,15
122,41,15
123,41,7
124,42,9
125,42,16
126,42,14
127,43,1
128,43,19
129,43,7
130,44,4
131,44,15
132,44,6
133,45,11
134,45,0
135,45,10
136,46,4
137,46,8
138,46,11
139,47,4
140,47,6
141,47,18
142,48,17
143,48,11
144,48,11
145,49,2
146,49,19
147,49,10
148,50,17
149,50,12
150,50,0
151,51,19
152,51,1
153,51,14
154,52,2
155,52,3
156,52,6
157,53,4
158,53,12
159,53,5
160,54,12
161,54,2
162,54,3
163,55,13
164,55,0
165,55,9
166,56,17
167,56,18
168,56,14
169,57,6
170,57,1
171,57,15
172,58,10
173,58,11
174,58,17
175,59,15
176,59,7
177,59,9
178,60,7
179,60,16
180,60,13
181,61,8
182,61,12
183,61,14
184,62,12
185,62,2
186,62,3
187,63,10
188,63,17
189,63,0
190,64,2
191,64,7
192,64,0
193,65,0
194,65,14
195,65,14
196,66,6
197,66,12
198,66,4
199,67,15
200,67,16
201,67,18
202,68,18
203,68,8
204,68,0
205,69,12
206,69,2
207,69,16
208,70,5
209,70,3
210,70,12
211,71,10
212,71,14
213,71,4
214,72,5
215,72,10
216,72,16
217,73,15
218,73,1
219,73,14
220,74,17
221,74,5
222,74,15
223,75,17
224,75,10
225,75,4
226,76,3
227,76,15
228,76,7
229,77,16
230,77,0
231,77,5
232,78,15
233,78,17
234,78,1
235,79,12
236,79,19
237,79,19
238,80,11
239,80,14
240,80,18
241,81,19
242,81,18
243,81,7
244,82,17
245,82,9
246,82,5
247,83,4
248,83,12
249,83,18
250,84,6
251,84,7
252,84,9
253,85,1
254,85,14
255,85,14
256,86,15
257,86,8
258,86,3
259,87,7
260,87,4
261,87,0
262,88,10
263,88,8
264,88,2
265,89,10
266,89,11
267,89,4
268,90,9
269,90,13
270,90,18
271,91,3
272,91,6
273,91,9
274,92,14
275,92,7
276,92,10
277,93,1
278,93,17
279,93,1
280,94,5
281,94,16
282,94,14
283,95,15
284,95,5
285,95,16
286,96,12
287,96,0
288,96,10
289,97,14
290,97,8
291,97,1
292,98,12
293,98,7
294,98,16
295,99,9
296,99,12
297,99,15
298,100,7
299,100,15
300,100,7
301,101,11
302,101,14
303,101,2
304,102,2
305,102,5
306,102,11
307,103,13
308,103,19
309,103,10
310,104,9
311,104,2
312,104,2
313,105,4
314,105,3
315,105,16
316,106,17
317,106,4
318,106,11
319,107,6
320,107,10
321,107,18
322,108,18
323,108,7
324,108,16
325,109,2
326,109,1
327,109,8
328,110,8
329,110,6
330,110,2
331,111,12
332,111,14
333,111,8
334,112,14
335,112,2
336,112,13
337,113,9
338,113,5
339,113,1
340,114,2
341,114,5
342,114,12
343,115,5
344,115,14
345,115,17
346,116,8
347,116,0
348,116,2
349,117,6
350,117,12
351,117,11
352,118,14
353,118,3
354,118,13
355,119,14
356,119,11
357,119,1
358,120,16
359,120,6
360,120,10
361,121,16
362,121,19
363,121,13
364,122,10
365,122,13
366,122,8
367,123,18
368,123,5
369,123,4
370,124,6
371,124,2
372,124,18
373,125,18
374,125,12
375,125,0
376,126,11
377,126,3
378,126,15
379,127,8
380,127,9
381,127,10
382,128,15
383,128,6
384,128,3
385,129,11
386,129,9
387,129,0
388,130,19
389,130,9
390,130,16
391,131,13
392,131,4
393,131,7
394,132,0
395,132,9
396,132,17
397,133,2
398,133,4
399,133,19
400,134,12
401,134,9
402,134,13
403,135,17
404,135,19
405,135,0
406,136,8
407,136,4
408,136,18
409,137,6
410,137,0
411,137,1
412,138,17
413,138,19
414,138,15
415,139,1
416,139,6
417,139,17
418,140,16
419,140,5
420,140,12
421,141,16
422,141,14
423,141,13
424,142,13
425,142,1
426,142,1
427,143,2
428,143,2
429,143,17
430,144,17
431,144,18
432,144,8
433,145,7
434,145,18
435,145,16
436,146,5
437,146,11
438,146,15
439,147,19
440,147,7
441,147,13
442,148,16
443,148,11
444,148,13
445,149,4
446,149,0
447,149,14
448,150,3
449,150,3
450,150,4
451,151,19
452,151,13
453,151,2
454,152,8
455,152,9
456,152,14
457,153,4
