id,date,total,employee
1,2023-02-13 22:17:17,0,2
2,2022-12-23 02:37:56,0,2
3,2023-07-15 08:42:26,0,2
4,2023-02-07 16:59:15,0,1
5,2022-11-29 06:00:56,0,
6,2023-02-02 02:06:27,0,2
7,2023-10-27 20:13:03,0,2
8,2023-08-20 03:58:07,0,1
9,2023-06-24 20:19:32,0,2
10,2023-03-06 07:33:54,0,3
11,2022-11-22 15:05:30,0,2
12,2023-03-17 18:27:04,0,2
13,2023-04-03 01:06:04,0,
14,2022-12-05 16:26:55,0,1
15,2022-11-14 07:58:31,0,3
16,2023-05-10 10:11:27,0,
17,2023-05-12 19:06:39,0,2
18,2022-11-21 23:11:47,0,1
19,2023-08-26 21:15:42,0,1
20,2023-03-24 22:32:04,0,1
21,2023-06-05 22:38:10,0,
22,2023-06-17 16:35:37,0,
23,2023-03-30 00:42:46,0,2
24,2022-12-27 05:48:22,0,
25,2023-07-02 05:45:31,0,3
26,2023-10-26 15:30:40,0,2
27,2022-12-05 20:56:43,0,3
28,2023-08-14 14:44:07,0,2
29,2023-02-25 21:56:41,0,1
30,2023-06-16 16:05:15,0,2
31,2023-08-05 05:48:40,0,3
32,2023-05-11 00:21:39,0,1
33,2023-03-23 00:26:48,0,1
34,2023-09-03 04:17:30,0,3
35,2022-11-06 02:04:07,0,1
36,2023-09-29 12:43:45,0,3
37,2023-08-26 21:26:36,0,
38,2023-08-26 15:09:53,0,2
39,2023-10-21 09:59:00,0,1
40,2023-09-10 04:18:40,0,
41,2023-06-05 13:26:42,0,
42,2023-08-31 13:11:29,0,
43,2023-10-09 10:05:17,0,3
44,2023-09-16 01:48:02,0,2
45,2023-05-25 01:17:29,0,1
46,2022-12-14 08:34:53,0,
47,2023-03-25 02:59:33,0,1
48,2023-10-26 13:37:23,0,2
49,2023-01-08 12:33:08,0,3
50,2023-01-03 16:46:09,0,
51,2023-04-23 11:18:32,0,1
52,2023-06-09 09:12:30,0,1
53,2022-11-26 03:53:34,0,
54,2023-06-16 12:42:00,0,1
55,2023-10-17 23:18:32,0,3
56,2022-12-29 15:17:13,0,2
57,2022-10-28 22:42:03,0,
58,2023-05-29 12:33:36,0,2
59,2023-10-11 10:58:06,0,2
60,2023-08-25 01:37:46,0,3
61,2023-10-05 16:15:55,0,1
62,2022-12-18 08:03:31,0,3
63,2023-04-15 18:03:57,0,1
64,2022-11-05 07:19:07,0,3
65,2022-12-10 02:36:00,0,3
66,2023-01-08 00:53:59,0,2
67,2023-07-05 19:41:18,0,
68,2023-07-08 03:08:01,0,
69,2023-09-10 06:16:16,0,3
70,2023-03-28 23:03:22,0,1
71,2022-11-24 09:54:21,0,3
72,2023-10-04 19:45:13,0,1
73,2023-07-19 21:43:14,0,
74,2022-11-22 21:41:18,0,1
75,2022-12-16 21:30:24,0,
76,2023-04-22 02:14:09,0,2
77,2022-12-15 04:19:51,0,3
78,2023-07-06 04:30:44,0,1
79,2023-10-10 09:59:42,0,3
80,2023-10-18 06:46:03,0,
81,2023-06-08 08:40:34,0,1
82,2023-03-30 15:13:54,0,2
83,2023-01-29 02:01:02,0,3
84,2023-08-14 07:37:55,0,
85,2023-01-27 06:14:52,0,1
86,2023-07-02 16:22:41,0,2
87,2023-01-17 02:58:21,0,
88,2023-05-08 08:53:55,0,3
89,2023-09-29 21:09:33,0,3
90,2023-05-29 15:32:56,0,
91,2023-03-07 06:08:54,0,
92,2022-12-20 03:02:16,0,
93,2023-04-30 00:43:01,0,2
94,2023-08-06 17:08:36,0,2
95,2023-09-02 00:06:40,0,2
96,2022-11-05 09:19:57,0,
97,2023-05-05 23:44:57,0,
98,2023-04-24 12:00:09,0,1
99,2023-01-21 14:03:20,0,2
100,2023-09-15 10:56:57,0,2
101,2023-09-06 23:39:10,0,3
102,2023-10-25 17:07:42,0,1
103,2023-10-01 00:05:58,0,
104,2023-09-30 01:08:37,0,
105,2023-09-30 04:04:55,0,1
106,2023-06-27 20:16:11,0,
107,2023-07-01 16:57:40,0,
108,2023-07-19 07:56:58,0,3
109,2023-01-25 13:35:24,0,1
110,2023-03-25 04:45:07,0,
111,2023-03-09 11:26:47,0,2
112,2023-05-21 06:12:13,0,2
113,2022-11-03 09:10:32,0,2
114,2023-09-10 14:03:40,0,
115,2023-08-01 22:47:38,0,3
116,2022-12-10 04:14:11,0,1
117,2023-09-23 00:13:28,0,
118,2023-01-02 06:05:52,0,2
119,2022-11-26 13:03:35,0,3
120,2022-11-17 19:19:44,0,1
121,2023-02-23 12:03:56,0,1
122,2023-05-31 11:12:47,0,1
123,2023-02-09 18:28:59,0,3
124,2023-05-06 05:21:20,0,2
125,2023-05-24 20:29:33,0,1
126,2023-05-26 02:38:56,0,
127,2023-04-03 05:26:36,0,1
128,2022-11-07 14:03:47,0,
129,2023-06-26 22:39:37,0,1
130,2023-07-23 17:29:25,0,3
131,2022-11-30 18:12:50,0,2
132,2022-12-22 16:53:30,0,2
133,2023-03-23 01:13:49,0,3
134,2023-08-09 01:26:06,0,3
135,2023-10-21 06:34:14,0,
136,2023-06-14 14:09:49,0,2
137,2023-09-21 19:38:05,0,3
138,2023-10-24 01:55:32,0,
139,2023-06-26 09:15:57,0,1
140,2023-04-09 04:41:47,0,2
141,2022-12-11 10:17:58,0,2
142,2023-06-08 14:29:11,0,3
143,2023-05-06 21:38:16,0,1
144,2023-06-14 14:43:06,0,2
145,2022-11-15 10:19:05,0,1
146,2023-09-12 17:11:32,0,1
147,2022-12-13 12:16:18,0,2
148,2022-10-29 21:03:43,0,1
149,2023-06-23 11:46:40,0,1
150,2022-12-09 00:34:31,0,
151,2023-10-08 15:18:49,0,
152,2023-09-21 05:07:15,0,3
153,2023-06-26 13:01:08,0,
154,2023-01-28 16:46:35,0,1
155,2023-08-09 18:45:47,0,
